id,status_group
72938,functional
65358,functional
469,functional
1298,non functional
27001,functional
41546,functional
16230,functional
10307,functional
37145,non functional
49234,non functional
52130,non functional
16650,non functional
36612,functional
19057,functional
4085,non functional
12040,functional
21481,functional
69234,non functional
48982,non functional
53992,functional
3658,functional
45331,functional
72431,functional
64881,functional
10831,functional
25701,functional
13557,functional
475,functional
44263,non functional
50490,non functional
32356,functional
3286,functional
48307,functional
9878,functional
19287,non functional
13331,functional
65531,functional needs repair
49447,functional
50998,functional
65565,non functional
36548,non functional
73770,functional
52471,functional
46211,functional
27813,functional
44808,functional needs repair
55537,functional
68803,non functional
55203,non functional
23364,functional
38878,functional
21289,functional
13415,non functional
10809,functional needs repair
58922,functional
12084,functional
68108,non functional
57230,functional
4951,functional
15305,functional
23317,functional
5545,non functional
17813,functional
29715,non functional
35794,functional
43092,functional
36830,functional
46140,functional
20959,non functional
10217,non functional
53416,functional
66712,non functional
62088,functional
56096,functional needs repair
68157,non functional
38286,non functional
66789,non functional
51575,non functional
22274,functional
31160,non functional
18514,functional
74204,functional
55665,functional
3518,functional
7415,non functional
35933,functional
68418,non functional
3763,non functional
29594,functional needs repair
73286,functional
36373,non functional
43801,functional
39399,functional
5621,non functional
60651,functional
24008,non functional
11101,functional
73378,functional
9314,functional
3381,functional
27250,functional needs repair
30051,functional
40525,functional needs repair
57056,non functional
985,functional
9831,functional
13447,functional
61021,functional
17439,functional
59028,non functional
28097,non functional
17621,functional
47584,non functional
24565,functional
71420,non functional
10432,functional
23144,functional
68201,functional needs repair
50309,functional
47168,non functional
17569,functional
6983,non functional
42737,functional needs repair
64430,non functional
36457,functional
34588,functional needs repair
58597,functional
51471,functional
30890,functional
20897,functional
55780,functional
52128,functional
39051,non functional
65369,non functional
8072,functional
61897,functional
38322,non functional
42708,functional
38498,functional
52155,non functional
53572,non functional
57713,functional needs repair
50184,functional
13807,functional
42021,functional
35808,functional
30158,non functional
61383,functional
67878,non functional
24054,functional needs repair
28287,non functional
24440,functional
12953,functional
52955,non functional
56436,functional needs repair
34305,non functional
47538,functional
17298,non functional
35071,non functional
33333,functional
2220,non functional
68848,functional
67173,non functional
51129,functional
33894,functional
11165,non functional
42929,functional
71468,non functional
55909,non functional
23620,functional
7598,non functional
19112,functional
11525,functional
26979,functional
67622,functional
42736,functional needs repair
19125,functional
68383,non functional
45348,functional
2024,non functional
14376,non functional
70735,non functional
65318,functional
10287,functional
27739,non functional
32059,functional
30682,non functional
29271,functional needs repair
14231,non functional
11209,functional needs repair
66422,functional
36915,non functional
46207,non functional
30995,non functional
58197,functional
61647,functional
55371,functional needs repair
42139,non functional
37423,non functional
39689,non functional
48097,functional
51646,functional
30715,functional
58677,functional
16716,functional
64206,functional
68456,non functional
15166,non functional
61844,non functional
42024,non functional
64074,functional
36400,functional
72474,functional
43987,functional
8996,functional
62217,functional
58995,non functional
17688,functional needs repair
68812,functional
20248,non functional
60471,functional
37332,functional
44526,functional
67826,non functional
57448,functional
58212,functional
46852,functional needs repair
25087,functional
32691,non functional
63366,functional
34413,functional
55986,functional
45849,functional
51271,non functional
49924,non functional
18872,non functional
962,functional
73625,non functional
27269,non functional
54017,functional
56829,non functional
67425,functional
9037,functional
3426,non functional
70736,non functional
24843,non functional
65556,functional
20404,functional
62422,functional
22626,non functional
39927,functional
47455,functional
20490,functional
69673,non functional
9388,functional
52713,non functional
36971,functional
36287,functional
15894,non functional
3253,functional
41173,functional
67274,functional
40733,functional
73809,non functional
47161,functional
72726,functional
